ID,Date,History,Datetime,category,Frequency,Horizon,SP
W4,1,3460.00,1/2/2000,Other,1,13,Weekly
W4,2,3340.00,1/9/2000,Other,1,13,Weekly
W4,3,2770.00,1/16/2000,Other,1,13,Weekly
W4,4,2520.00,1/23/2000,Other,1,13,Weekly
W4,5,2740.00,1/30/2000,Other,1,13,Weekly
W4,6,2760.00,2/6/2000,Other,1,13,Weekly
W4,7,2470.00,2/13/2000,Other,1,13,Weekly
W4,8,2480.00,2/20/2000,Other,1,13,Weekly
W4,9,3260.00,2/27/2000,Other,1,13,Weekly
W4,10,2400.00,3/5/2000,Other,1,13,Weekly
W4,11,2250.00,3/12/2000,Other,1,13,Weekly
W4,12,2150.00,3/19/2000,Other,1,13,Weekly
W4,13,2230.00,3/26/2000,Other,1,13,Weekly
W4,14,2510.00,4/2/2000,Other,1,13,Weekly
W4,15,2890.00,4/9/2000,Other,1,13,Weekly
W4,16,2180.00,4/16/2000,Other,1,13,Weekly
W4,17,2160.00,4/23/2000,Other,1,13,Weekly
W4,18,2210.00,4/30/2000,Other,1,13,Weekly
W4,19,1880.00,5/7/2000,Other,1,13,Weekly
W4,20,1770.00,5/14/2000,Other,1,13,Weekly
W4,21,1700.00,5/21/2000,Other,1,13,Weekly
W4,22,1750.00,5/28/2000,Other,1,13,Weekly
W4,23,1880.00,6/4/2000,Other,1,13,Weekly
W4,24,1760.00,6/11/2000,Other,1,13,Weekly
W4,25,1780.00,6/18/2000,Other,1,13,Weekly
W4,26,2060.00,6/25/2000,Other,1,13,Weekly
W4,27,3220.00,7/2/2000,Other,1,13,Weekly
W4,28,3090.00,7/9/2000,Other,1,13,Weekly
W4,29,2820.00,7/16/2000,Other,1,13,Weekly
W4,30,2430.00,7/23/2000,Other,1,13,Weekly
W4,31,2500.00,7/30/2000,Other,1,13,Weekly
W4,32,1930.00,8/6/2000,Other,1,13,Weekly
W4,33,1740.00,8/13/2000,Other,1,13,Weekly
W4,34,1600.00,8/20/2000,Other,1,13,Weekly
W4,35,1630.00,8/27/2000,Other,1,13,Weekly
W4,36,1560.00,9/3/2000,Other,1,13,Weekly
W4,37,1650.00,9/10/2000,Other,1,13,Weekly
W4,38,1550.00,9/17/2000,Other,1,13,Weekly
W4,39,1540.00,9/24/2000,Other,1,13,Weekly
W4,40,1950.00,10/1/2000,Other,1,13,Weekly
W4,41,1590.00,10/8/2000,Other,1,13,Weekly
W4,42,1810.00,10/15/2000,Other,1,13,Weekly
W4,43,1740.00,10/22/2000,Other,1,13,Weekly
W4,44,2040.00,10/29/2000,Other,1,13,Weekly
W4,45,2010.00,11/5/2000,Other,1,13,Weekly
W4,46,2090.00,11/12/2000,Other,1,13,Weekly
W4,47,2000.00,11/19/2000,Other,1,13,Weekly
W4,48,2280.00,11/26/2000,Other,1,13,Weekly
W4,49,2580.00,12/3/2000,Other,1,13,Weekly
W4,50,2410.00,12/10/2000,Other,1,13,Weekly
W4,51,2890.00,12/17/2000,Other,1,13,Weekly
W4,52,3320.00,12/24/2000,Other,1,13,Weekly
W4,53,3570.00,12/31/2000,Other,1,13,Weekly
W4,54,3730.00,1/7/2001,Other,1,13,Weekly
W4,55,2930.00,1/14/2001,Other,1,13,Weekly
W4,56,2420.00,1/21/2001,Other,1,13,Weekly
W4,57,3080.00,1/28/2001,Other,1,13,Weekly
W4,58,2570.00,2/4/2001,Other,1,13,Weekly
W4,59,2140.00,2/11/2001,Other,1,13,Weekly
W4,60,1990.00,2/18/2001,Other,1,13,Weekly
W4,61,1980.00,2/25/2001,Other,1,13,Weekly
W4,62,2080.00,3/4/2001,Other,1,13,Weekly
W4,63,1790.00,3/11/2001,Other,1,13,Weekly
W4,64,1750.00,3/18/2001,Other,1,13,Weekly
W4,65,1650.00,3/25/2001,Other,1,13,Weekly
W4,66,1840.00,4/1/2001,Other,1,13,Weekly
W4,67,1670.00,4/8/2001,Other,1,13,Weekly
W4,68,1650.00,4/15/2001,Other,1,13,Weekly
W4,69,2160.00,4/22/2001,Other,1,13,Weekly
W4,70,1800.00,4/29/2001,Other,1,13,Weekly
W4,71,1640.00,5/6/2001,Other,1,13,Weekly
W4,72,1560.00,5/13/2001,Other,1,13,Weekly
W4,73,1480.00,5/20/2001,Other,1,13,Weekly
W4,74,1390.00,5/27/2001,Other,1,13,Weekly
W4,75,1490.00,6/3/2001,Other,1,13,Weekly
W4,76,1540.00,6/10/2001,Other,1,13,Weekly
W4,77,1520.00,6/17/2001,Other,1,13,Weekly
W4,78,1730.00,6/24/2001,Other,1,13,Weekly
W4,79,2660.00,7/1/2001,Other,1,13,Weekly
W4,80,2420.00,7/8/2001,Other,1,13,Weekly
W4,81,2160.00,7/15/2001,Other,1,13,Weekly
W4,82,2380.00,7/22/2001,Other,1,13,Weekly
W4,83,2350.00,7/29/2001,Other,1,13,Weekly
W4,84,2220.00,8/5/2001,Other,1,13,Weekly
W4,85,1600.00,8/12/2001,Other,1,13,Weekly
W4,86,1480.00,8/19/2001,Other,1,13,Weekly
W4,87,1390.00,8/26/2001,Other,1,13,Weekly
W4,88,1350.00,9/2/2001,Other,1,13,Weekly
W4,89,1410.00,9/9/2001,Other,1,13,Weekly
W4,90,1420.00,9/16/2001,Other,1,13,Weekly
W4,91,1430.00,9/23/2001,Other,1,13,Weekly
W4,92,1530.00,9/30/2001,Other,1,13,Weekly
W4,93,1510.00,10/7/2001,Other,1,13,Weekly
W4,94,1510.00,10/14/2001,Other,1,13,Weekly
W4,95,1520.00,10/21/2001,Other,1,13,Weekly
W4,96,1610.00,10/28/2001,Other,1,13,Weekly
